#Observation	name	definition	A.1	A.2	B.1	B.2
K14370	eryK, CYP113A	erythromycin 12 hydroxylase [EC:1.14.13.154]	0	1	0	1
K07660	phoP	two-component system, OmpR family, response regulator PhoP	0	1	0	1
K13615	pksR	polyketide synthase PksR	0	1	0	1
K22132	tcdA	tRNA threonylcarbamoyladenosine dehydratase	0	1	0	1
K22185	xylB	D-xylose 1-dehydrogenase [EC:1.1.1.175]	0	1	0	1
K02804	nagE	N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]	0	1	0	1
K17235	araP	arabinosaccharide transport system permease protein	0	1	0	2
K18898	mdtE	membrane fusion protein, multidrug efflux system	0	1	0	1
K07335	bmpA, bmpB, tmpC	basic membrane protein A and related proteins	0	2	0	2
K03042	rpoA2	DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]	0	2	0	2
K20023	talrD-galrD	L-talarate/galactarate dehydratase [EC:4.2.1.156 4.2.1.42]	0	1	0	1
K00691	mapA	maltose phosphorylase [EC:2.4.1.8]	0	1	0	1
K09974	K09974	uncharacterized protein	0	1	0	1
K16016	rifK, asm24, asm43	3-amino-5-hydroxybenzoate synthase [EC:4.2.1.144 2.6.1.-]	0	1	0	1
K07031	hddA	D-glycero-alpha-D-manno-heptose-7-phosphate kinase [EC:2.7.1.168]	0	1	0	2
K01947	birA-coaX	biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7.1.33]	0	1	0	1
K07720	yesN	two-component system, response regulator YesN	0	1	0	1
K04712	DEGS	sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]	0	2	0	1
K02491	kinA	two-component system, sporulation sensor kinase A [EC:2.7.13.3]	0	1	0	1
K21728	sdpA	(S)-dichlorprop dioxygenase (2-oxoglutarate) [EC:1.14.11.43]	0	1	0	1
K15912	pglF	UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]	0	1	0	1
K16157	mmoX	methane monooxygenase component A alpha chain [EC:1.14.13.25]	0	1	0	1
K00395	aprB	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	0	1	0	1
K19427	epsJ	glycosyltransferase EpsJ [EC:2.4.-.-]	0	1	0	1
K19276	aac3-IV	aminoglycoside 3-N-acetyltransferase IV [EC:2.3.1.81]	0	1	0	1
K02001	proW	glycine betaine/proline transport system permease protein	0	2	0	1
K21886	nmtR	ArsR family transcriptional regulator, nickel/cobalt-responsive transcriptional repressor	0	1	0	1
K08956	AFG3	AFG3 family protein [EC:3.4.24.-]	0	1	0	1
K02855	rhaS	AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS	0	1	0	1
K00180	iorB	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	0	1	0	0
K01363	CTSB	cathepsin B [EC:3.4.22.1]	0	1	0	0
K09281	K09281	copper-fist transcription factor	0	1	0	0
K17961	CYP82G1	trimethyltridecatetraene/dimethylnonatriene synthase [EC:1.14.14.58 1.14.14.59]	0	1	0	0
K02924	RP-L39e, RPL39	large subunit ribosomal protein L39e	0	1	0	0
K00213	DHCR7	7-dehydrocholesterol reductase [EC:1.3.1.21]	0	1	0	0
K08020	RAPGEF6, PDZGEF2	Rap guanine nucleotide exchange factor 6	0	1	0	0
K01584	adiA	arginine decarboxylase [EC:4.1.1.19]	0	1	0	0
K13653	K13653	AraC family transcriptional regulator	0	1	0	0
K13302	SGK1	serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]	0	1	0	0
K03981	dsbC	thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	0	1	0	0
K12877	MAGOH	protein mago nashi	0	1	0	0
K01631	dgoA	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	0	2	0	0
K03673	dsbA	protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]	0	1	0	0
K13275	isp	major intracellular serine protease [EC:3.4.21.-]	0	1	0	0
K13276	bpr	bacillopeptidase F [EC:3.4.21.-]	0	1	0	0
K12303	SLC17A9	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 9	0	1	0	0
K03292	TC.GPH	glycoside/pentoside/hexuronide:cation symporter, GPH family	0	1	0	0
K03073	secE	preprotein translocase subunit SecE	0	2	0	0
K13873	araA	L-arabinose 1-dehydrogenase [EC:1.1.1.376]	0	1	0	0
K00501	TH	tyrosine 3-monooxygenase [EC:1.14.16.2]	0	1	0	0
K16178	mtbB	dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]	0	2	0	0
K20678	fcf2	dTDP-fucopyranose mutase [EC:5.4.99.59]	0	1	0	0
K07198	PRKAA, AMPK	5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]	0	3	0	0
K07388	K07388	hydrogenase expression/formation protein	0	1	0	0
K21415	ANKS6	ankyrin repeat and SAM domain-containing protein 6	0	1	0	0
K07309	ynfE	Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	0	1	0	0
K07994	MMP13	matrix metalloproteinase-13 (collagenase 3) [EC:3.4.24.-]	0	1	0	0
K20206	VBPO	bromide peroxidase [EC:1.11.1.18]	0	1	0	0
K20201	ywlE	protein arginine phosphatase [EC:3.9.1.2]	0	1	0	0
K07774	tctD	two-component system, OmpR family, response regulator TctD	0	1	0	0
K05931	CARM1, PRMT4	type I protein arginine methyltransferase [EC:2.1.1.319]	0	1	0	0
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	0	1	0	0
K10324	ASB2	ankyrin repeat and SOCS box protein 2	0	1	0	0
K00373	narJ, narW	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	0	2	0	0
K00514	ZDS, crtQ	zeta-carotene desaturase [EC:1.3.5.6]	0	1	0	0
K00999	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]	0	1	0	0
K09294	HOX_9	homeobox protein HoxB/C/D9	0	1	0	0
K14205	mprF, fmtC	phosphatidylglycerol lysyltransferase [EC:2.3.2.3]	0	1	0	0
K00581	mtrE	tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	0	1	0	0
K14440	SMARCAL1, HARP	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12]	0	1	0	0
K20445	ndhF	nicotinate dehydrogenase FAD-subunit [EC:1.17.1.5]	0	1	0	0
K02592	nifN	nitrogenase molybdenum-iron protein NifN	0	3	0	0
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	0	3	0	0
K02849	waaQ, rfaQ	heptosyltransferase III [EC:2.4.-.-]	0	1	0	0
K10401	KIF18_19	kinesin family member 18/19	0	1	0	0
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	0	1	0	0
K10586	BIRC6, BRUCE	baculoviral IAP repeat-containing protein 6 (apollon) [EC:2.3.2.23]	0	1	0	0
K10362	MYO18	myosin XVIII	0	1	0	0
K11819	SUR1, RTY	S-alkyl-thiohydroximate lyase SUR1 [EC:4.4.1.-]	0	1	0	0
K16698	tuaG	teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	0	2	0	0
K03241	EIF2B3	translation initiation factor eIF-2B subunit gamma	0	1	0	0
K13867	SLC7A7	solute carrier family 7 (L-type amino acid transporter), member 7	0	1	0	0
K16165	nagK	fumarylpyruvate hydrolase [EC:3.7.1.20]	0	1	0	0
K12422	fadD10	long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]	0	1	0	0
K01270	pepD	dipeptidase D [EC:3.4.13.-]	0	1	0	0
K11518	TOM40	mitochondrial import receptor subunit TOM40	0	1	0	0
K06965	PELO, DOM34, pelA	protein pelota	0	1	0	0
K12734	PPIL3	peptidyl-prolyl cis-trans isomerase-like 3 [EC:5.2.1.8]	0	1	0	0
K11420	EHMT	[histone H3]-lysine9 N-trimethyltransferase EHMT [EC:2.1.1.355]	0	1	0	0
K16345	xanP	xanthine permease XanP	0	1	0	0
K09807	K09807	uncharacterized protein	0	1	0	0
K07762	PAPPA	pappalysin-1 [EC:3.4.24.79]	0	1	0	0
K07760	CDK	cyclin-dependent kinase [EC:2.7.11.22]	0	1	0	0
K18695	GPCPD1	glycerophosphocholine phosphodiesterase GPCPD1 [EC:3.1.4.2]	0	1	0	0
K13923	pduL	phosphate propanoyltransferase [EC:2.3.1.222]	0	2	0	0
K02106	atoE	short-chain fatty acids transporter	0	1	0	0
K05824	LYS12	homoisocitrate dehydrogenase [EC:1.1.1.87]	0	2	0	0
K04061	flhB2	flagellar biosynthesis protein	0	1	0	0
K02690	psaB	photosystem I P700 chlorophyll a apoprotein A2	0	1	0	0
K04536	GNB1	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	0	2	0	0
K02688	prpR	transcriptional regulator, propionate catabolism operon regulatory protein	0	1	0	0
K22223	pgp	phosphoglycolate phosphatase [EC:3.1.3.18]	0	3	0	0
K20455	acnD	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]	0	1	0	0
K14454	GOT1	aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	0	1	0	0
K14693	SLC30A6, ZNT6	solute carrier family 30 (zinc transporter), member 6	0	1	0	0
K15984	rsmJ	16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]	0	1	0	0
K11635	yxdL	putative ABC transport system ATP-binding protein	0	1	0	0
K13076	SLD	sphingolipid 8-(E)-desaturase [EC:1.14.19.18]	0	1	0	0
K20266	trbJ	type IV secretion system protein TrbJ	0	1	0	0
K03503	umuD	DNA polymerase V [EC:3.4.21.-]	0	1	0	0
K03893	arsB	arsenical pump membrane protein	0	1	0	0
K02304	MET8	precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	0	2	0	0
K06110	EXOC3, SEC6	exocyst complex component 3	0	1	0	0
K08693	yfkN	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]	0	1	0	0
K08690	bphB	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [EC:1.3.1.56]	0	1	0	0
K08696	ccmK	carbon dioxide concentrating mechanism protein CcmK	0	1	0	0
K06689	UBE2D, UBC4, UBC5	ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]	0	1	0	0
K15830	hycE	formate hydrogenlyase subunit 5	0	1	0	0
K18853	dmrX	dihydromethanopterin reductase (acceptor) [EC:1.5.99.15]	0	1	0	0
K17593	ANKRD42, SARP	ankyrin repeat domain-containing protein 42	0	1	0	0
K17592	SACS	sacsin	0	1	0	0
K06974	amzA, AMZ2, AMZ1	archaemetzincin [EC:3.4.-.-]	0	3	0	0
K07577	K07577	putative mRNA 3-end processing factor	0	1	0	0
K07575	MCTS, TMA20	malignant T-cell-amplified sequence	0	1	0	0
K11367	CHD1	chromodomain-helicase-DNA-binding protein 1 [EC:3.6.4.12]	0	1	0	0
K04762	hslR	ribosome-associated heat shock protein Hsp15	0	1	0	0
K01931	NEUR	protein neuralized [EC:2.3.2.27]	0	1	0	0
K04409	PAK1	p21-activated kinase 1 [EC:2.7.11.1]	0	1	0	0
K07792	dcuB	anaerobic C4-dicarboxylate transporter DcuB	0	1	0	0
K07150	K07150	uncharacterized protein	0	1	0	0
K07153	hflD	high frequency lysogenization protein	0	1	0	0
K07403	nfeD	membrane-bound serine protease (ClpP class)	0	2	0	0
K03839	fldA, nifF, isiB	flavodoxin I	0	1	0	0
K15534	K15534	beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase [EC:2.4.1.247]	0	1	0	0
K21130	colC	GDP-L-colitose synthase [EC:1.1.1.356]	0	1	0	0
K01240	URH1	uridine nucleosidase [EC:3.2.2.3]	0	1	0	0
K10014	hisJ	histidine transport system substrate-binding protein	0	2	0	0
K02686	priB	primosomal replication protein N	0	1	0	0
K01067	E3.1.2.1, ACH1	acetyl-CoA hydrolase [EC:3.1.2.1]	0	2	0	0
K22490	ldrP	CRP/FNR family transcriptional regulator, LitR-dependent transcriptional activator	0	1	0	0
K02334	dpo	DNA polymerase bacteriophage-type [EC:2.7.7.7]	0	1	0	0
K03315	nhaC	Na+:H+ antiporter, NhaC family	0	1	0	0
K13289	CTSA, CPY	cathepsin A (carboxypeptidase C) [EC:3.4.16.5]	0	1	0	0
K17722	preT	dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1]	0	1	0	0
K07151	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]	0	1	0	0
K22106	fatR, bscR	TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon	0	1	0	0
K13930	mdcB	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	0	1	0	0
K12082	ptlG	type IV secretion system protein PtlG	0	2	0	0
K16177	mtmC	monomethylamine corrinoid protein	0	1	0	0
K18581	ugl	unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]	0	1	0	0
K19610	pfeR, pirR	two-component system, OmpR family, response regulator PfeR	0	1	0	0
K07561	DPH1, dph2	2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]	0	1	0	0
K09863	AQP0, MIP	aquaporin-0	0	1	0	0
K10719	JHEH	juvenile hormone epoxide hydrolase	0	1	0	0
K13049	PM20D1	carboxypeptidase PM20D1 [EC:3.4.17.-]	0	1	0	0
K07783	uhpC	MFS transporter, OPA family, sugar phosphate sensor protein UhpC	0	1	0	0
K18364	bphH, xylJ, tesE	2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132]	0	1	0	0
K04040	chlG, bchG	chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	0	1	0	0
K15504	ANKRD52	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	0	1	0	0
K04562	flhG, fleN	flagellar biosynthesis protein FlhG	0	1	0	0
K08232	E1.6.5.4	monodehydroascorbate reductase (NADH) [EC:1.6.5.4]	0	1	0	0
K08093	hxlA	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	0	1	0	0
K02243	comGA	competence protein ComGA	0	1	0	0
K07023	K07023	putative hydrolases of HD superfamily	0	1	0	0
K00814	GPT, ALT	alanine transaminase [EC:2.6.1.2]	0	1	0	0
K18578	CEL74A	xyloglucan-specific exo-beta-1,4-glucanase [EC:3.2.1.155]	0	1	0	0
K19973	mntA	manganese transport system ATP-binding protein [EC:7.2.2.5]	0	1	0	0
K03780	ttdB	L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]	0	1	0	0
K22066	BOLA1	BolA-like protein 1	0	1	0	0
K09496	CCT4	T-complex protein 1 subunit delta	0	1	0	0
K19343	nirI	NosR/NirI family transcriptional regulator, nitrite reductase regulator	0	1	0	0
K09499	CCT7	T-complex protein 1 subunit eta	0	1	0	0
K19341	nosY	Cu-processing system permease protein	0	1	0	0
K18958	whiB7	WhiB family transcriptional regulator, redox-sensing transcriptional regulator	0	1	0	0
K19345	nirF	protein NirF	0	2	0	0
K07316	mod	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0	1	0	0
K07319	yhdJ	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	0	2	0	0
K16317	trmY	tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]	0	1	0	0
K08830	RAGE, MOK	renal tumor antigen [EC:2.7.11.22]	0	1	0	0
K03540	RPR2, RPP21	ribonuclease P protein subunit RPR2 [EC:3.1.26.5]	0	1	0	0
K12701	novH	novobiocin biosynthesis protein NovH	0	1	0	0
K12700	rihC	non-specific riboncleoside hydrolase [EC:3.2.-.-]	0	1	0	0
K07558	K07558, cca	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	0	1	0	0
K03933	cpbD	chitin-binding protein	0	1	0	0
K10709	frlC	fructoselysine 3-epimerase [EC:5.1.3.41]	0	1	0	0
K19723	dcsB	Nomega-hydroxy-L-arginine amidinohydrolase [EC:3.5.3.25]	0	1	0	0
K11140	ANPEP, CD13	aminopeptidase N [EC:3.4.11.2]	0	2	0	0
K11145	K11145	ribonuclease III family protein [EC:3.1.26.-]	0	1	0	0
K05972	AXE1	acetylxylan esterase [EC:3.1.1.72]	0	2	0	0
K21200	CYP144	cytochrome P450 family 144	0	1	0	0
K11817	AAO1_2	indole-3-acetaldehyde oxidase [EC:1.2.3.7]	0	1	0	0
K06950	K06950	uncharacterized protein	0	1	0	0
K07427	CYP4V	docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	0	2	0	0
K01233	csn	chitosanase [EC:3.2.1.132]	0	1	0	0
K04030	eutQ	ethanolamine utilization protein EutQ	0	1	0	0
K15518	dgk	deoxyguanosine kinase [EC:2.7.1.113]	0	1	0	0
K09017	rutR	TetR/AcrR family transcriptional regulator	0	2	0	0
K08224	ynfM	MFS transporter, YNFM family, putative membrane transport protein	0	1	0	0
K10036	glnH	glutamine transport system substrate-binding protein	0	1	0	0
K04784	irp2, HMWP2	yersiniabactin nonribosomal peptide synthetase	0	1	0	0
K18162	NDUFAF5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]	0	2	0	0
K00804	GGPS1	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]	0	1	0	0
K22478	K22478	bifunctional N-acetylglutamate synthase/kinase [EC:2.3.1.1 2.7.2.8]	0	1	0	0
K10921	toxR	cholera toxin transcriptional activator	0	1	0	0
K01442	cbh	choloylglycine hydrolase [EC:3.5.1.24]	0	1	0	0
K15352	pipB2	secreted effector protein PipB2	0	1	0	0
K13043	argF	N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]	0	1	0	0
K03339	iolJ	6-phospho-5-dehydro-2-deoxy-D-gluconate aldolase [EC:4.1.2.29]	0	1	0	0
K02533	lasT	tRNA/rRNA methyltransferase [EC:2.1.1.-]	0	1	0	0
K03939	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	0	1	0	0
K03421	mcrC	methyl-coenzyme M reductase subunit C	0	2	0	0
K03931	ygjK	putative isomerase	0	1	0	0
K03207	wcaH	colanic acid biosynthesis protein WcaH [EC:3.6.1.-]	0	1	0	0
K20628	exlX	expansin	0	1	0	0
K15366	spvB	salmonella plasmid virulence protein B	0	1	0	0
K13950	pabAB	para-aminobenzoate synthetase [EC:2.6.1.85]	0	2	0	0
K08821	CDK14, PFTK1	cyclin-dependent kinase 14 [EC:2.7.11.22]	0	1	0	0
K07301	yrbG	cation:H+ antiporter	0	1	0	0
K17250	pglI	GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase [EC:2.4.1.293]	0	1	0	0
K08799	MELK	maternal embryonic leucine zipper kinase [EC:2.7.11.1]	0	1	0	0
K12603	CNOT6, CCR4	CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]	0	2	0	0
K00491	nos	nitric-oxide synthase, bacterial [EC:1.14.14.47]	0	1	0	0
K00653	CDY	chromodomain protein Y [EC:2.3.1.48]	0	1	0	0
K00651	metA	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	0	2	0	0
K04022	eutG	alcohol dehydrogenase	0	1	0	0
K18549	ALP1	oryzin [EC:3.4.21.63]	0	1	0	0
K20984	LOVF	2-methylbutanoate polyketide synthase [EC:2.3.1.244]	0	1	0	0
K14258	TRET1	facilitated trehalose transporter	0	1	0	0
K10041	peb1C, glnQ	aspartate/glutamate/glutamine transport system ATP-binding protein [EC:7.4.2.1]	0	1	0	0
K00671	NMT	glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]	0	1	0	0
K04793	mbtG	mycobactin lysine-N-oxygenase	0	1	0	0
K04796	RUXX	small nuclear ribonucleoprotein	0	1	0	0
K00874	kdgK	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	0	1	0	0
K15257	cmoB	tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]	0	1	0	0
K04372	MKNK, MNK	MAP kinase interacting serine/threonine kinase [EC:2.7.11.1]	0	1	0	0
K14386	SLC5A6, SMVT	solute carrier family 5 (sodium-dependent multivitamin transporter), member 6	0	2	0	0
K16201	dppC	dipeptide transport system permease protein	0	1	0	0
K08798	MARK	MAP/microtubule affinity-regulating kinase [EC:2.7.11.1]	0	1	0	0
K01453	nylB	6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]	0	1	0	0
K20509	madB, oadB, gcdB, mmdB	carboxybiotin decarboxylase [EC:7.2.4.1]	0	1	0	0
K22042	hlyU	ArsR family transcriptional regulator, virulence genes transcriptional regulator	0	1	0	0
K13411	DUOX, THOX	dual oxidase [EC:1.6.3.1 1.11.1.-]	0	1	0	0
K12945	nudK	GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]	0	2	0	0
K12479	VPS45	vacuolar protein sorting-associated protein 45	0	1	0	0
K18553	cmlR, cmx	MFS transporter, DHA1 family, chloramphenicol resistance protein	0	1	0	0
K21749	CMAS	N-acylneuraminate/3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.43 2.7.7.92]	0	1	0	0
K00107	ALO	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]	0	1	0	0
K21743	mta	MerR family transcriptional regulator, multidrug-efflux activator	0	1	0	0
K07038	K07038	inner membrane protein	0	1	0	0
K03699	tlyC	putative hemolysin	0	2	0	0
K04802	PCNA	proliferating cell nuclear antigen	0	2	0	0
K21363	wfaP, wfgD	UDP-Glc:alpha-D-GlcNAc-glucosaminyl-diphosphoundecaprenol beta-1,3-glucosyltransferase [EC:2.4.1.305]	0	1	0	0
K03796	bax	Bax protein	0	1	0	0
K06885	K06885	uncharacterized protein	0	1	0	0
K11707	troA, mntA, znuA	manganese/zinc/iron transport system substrate-binding protein	0	1	0	0
K11708	troC, mntC, znuB	manganese/zinc/iron transport system permease protein	0	1	0	0
K17108	GBA2	non-lysosomal glucosylceramidase [EC:3.2.1.45]	0	1	0	0
K12613	DCP2	mRNA-decapping enzyme subunit 2 [EC:3.6.1.62]	0	1	0	0
K08674	FAP	fibroblast activation protein, alpha [EC:3.4.21.-]	0	1	0	0
K00363	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	0	1	0	0
K14713	SLC39A7, KE4, ZIP7	solute carrier family 39 (zinc transporter), member 7	0	1	0	0
K14209	SLC36A, PAT	solute carrier family 36 (proton-coupled amino acid transporter)	0	1	0	0
K11230	SSK2	mitogen-activated protein kinase kinase kinase [EC:2.7.11.25]	0	1	0	0
K01846	glmS, mutS, mamA	methylaspartate mutase sigma subunit [EC:5.4.99.1]	0	1	0	0
K17870	nox1	NADH oxidase (H2O2-forming) [EC:1.6.3.3]	0	1	0	0
K07060	nob1	endoribonuclease Nob1 [EC:3.1.-.-]	0	1	0	0
K10726	mcm, cdc21	replicative DNA helicase Mcm [EC:3.6.4.-]	0	1	0	0
K08244	R1	alpha-glucan, water dikinase [EC:2.7.9.4]	0	1	0	0
K01991	wza, gfcE	polysaccharide biosynthesis/export protein	0	1	0	0
K20724	TMEM33	transmembrane protein 33	0	1	0	0
K01197	hya	hyaluronoglucosaminidase [EC:3.2.1.35]	0	1	0	0
K01201	GBA, srfJ	glucosylceramidase [EC:3.2.1.45]	0	1	0	0
K05031	CFTR, ABCC7	cystic fibrosis transmembrane conductance regulator [EC:5.6.1.6]	0	2	0	0
K19817	fprA	coenzyme F420H2 oxidase [EC:1.5.3.22]	0	1	0	0
K02517	lpxL, htrB	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]	0	2	0	0
K13402	MTHFD1L	monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]	0	1	0	0
K18850	ycfD	50S ribosomal protein L16 3-hydroxylase [EC:1.14.11.47]	0	1	0	0
K09722	K09722, pps	4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]	0	1	0	0
K16873	hmfH	5-(hydroxymethyl)furfural/furfural oxidase [EC:1.1.3.47 1.1.3.-]	0	1	0	0
K22140	MGM1	dynamin-like GTPase MGM1, mitochondrial	0	1	0	0
K07321	cooC	CO dehydrogenase maturation factor	0	2	0	0
K10231	kojP	kojibiose phosphorylase [EC:2.4.1.230]	0	1	0	0
K06182	rluF	23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]	0	2	0	0
K06185	ABCF2	ATP-binding cassette, subfamily F, member 2	0	1	0	0
K08291	GRK4_5_6	G protein-coupled receptor kinase [EC:2.7.11.16]	0	1	0	0
K10442	KLHL1_4_5	kelch-like protein 1/4/5	0	1	0	0
K12624	LSM5	U6 snRNA-associated Sm-like protein LSm5	0	1	0	0
K12625	LSM6	U6 snRNA-associated Sm-like protein LSm6	0	1	0	0
K20360	TBC1D22, GYP1	TBC1 domain family member 2	0	1	0	0
K00675	nhoA	N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	0	1	0	0
K16291	erfK	L,D-transpeptidase ErfK/SrfK	0	1	0	0
K17898	oraE	D-ornithine 4,5-aminomutase subunit beta [EC:5.4.3.5]	0	1	0	0
K17899	oraS	D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]	0	1	0	0
K02978	RP-S27e, RPS27	small subunit ribosomal protein S27e	0	2	0	0
K13831	hps-phi	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]	0	1	0	0
K00583	mtrG	tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	0	1	0	0
K00588	E2.1.1.104	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	0	1	0	0
K07075	K07075	uncharacterized protein	0	2	0	0
K02448	norD	nitric oxide reductase NorD protein	0	1	0	0
K13762	PDE5	cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]	0	1	0	0
K01185	E3.2.1.17	lysozyme [EC:3.2.1.17]	0	1	0	0
K16904	DCTPP1	dCTP diphosphatase [EC:3.6.1.12]	0	1	0	0
K18198	yesX	rhamnogalacturonan exolyase [EC:4.2.2.24]	0	1	0	0
K03769	ppiC	peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]	0	2	0	0
K02898	RP-L26e, RPL26	large subunit ribosomal protein L26e	0	1	0	0
K05874	tsr	methyl-accepting chemotaxis protein I, serine sensor receptor	0	2	0	0
K07095	K07095	uncharacterized protein	0	1	0	0
K13987	NUDT5	ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase [EC:3.6.1.13 3.6.1.58 2.7.7.96]	0	1	0	0
K13981	AKR1E2, AKR1CL2	1,5-anhydro-D-fructose reductase [EC:1.1.1.263]	0	1	0	0
K11928	putP	sodium/proline symporter	0	1	0	0
K19789	radD	DNA repair protein RadD	0	1	0	0
K06197	chaB	cation transport regulator	0	1	0	0
K11106	ttdT	L-tartrate/succinate antiporter	0	4	0	0
K11450	KDM1A, AOF2, LSD1	[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase [EC:1.14.99.66]	0	1	0	0
K00668	FAS1	fatty acid synthase subunit beta, fungi type [EC:2.3.1.86]	0	1	0	0
K10850	narT	MFS transporter, NNP family, putative nitrate transporter	0	1	0	0
K00115	GLD	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]	0	1	0	0
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C	0	1	0	0
